MgvID,First_names,Initials,Last_name,Place_of_birth,Place_of_birth_code,Date_of_birth,Date_of_death,Sex,All_IDs
Mgv000001,Elizabeth Alexandra Mary,EliAM,Windsor,london,"51.5074456,-0.1277653",'1926-04-21,'2022-09-08,F,['royals_RQEII_1']
Mgv000002,Albert Frederick Arthur George,AlbFAG,Windsor,sandringham,"52.82737,0.51437",'1895-12-14,'1952-02-06,M,['royals_RQEII_2']
Mgv000003,Elizabeth Angela Marguerite,EliAM,Bowes-Lyon,london,"51.5074456,-0.1277653",'1900-08-04,'2002-03-30,F,['royals_RQEII_3']
Mgv000004,George Frederick Ernest Albert,GeoFEA,Saxe-Coburg and Gotha,westminster,"51.5004439,-0.1265398",'1865-06-03,'1936-01-20,M,['royals_RQEII_4']
Mgv000005,Victoria Mary Augusta Louise Olga Pauline Claudine Agnes,VicMALOPCA,Teck,london,"51.5074456,-0.1277653",'1867-05-26,'1953-03-24,F,['royals_RQEII_5']
Mgv000006,Claude George,ClaG,Bowes-Lyon,belgravia,"51.4982128,-0.1534998",'1855-03-14,'1944-11-07,M,['royals_RQEII_6']
Mgv000007,Cecilia Nina,CecN,Cavendish-Bentinck,belgravia,"51.4982128,-0.1534998",'1862-09-11,'1938-06-23,F,['royals_RQEII_7']
Mgv000008,Albert Edward,AlbE,Saxe-Coburg and Gotha,london,"51.5074456,-0.1277653",'1841-11-09,'1910-05-06,M,['royals_RQEII_8']
Mgv000009,Alexandra Caroline Marie Charlotte Louise Julia,AleCMCLJ,Glücksburg,copenhagen,"55.6867243,12.5700724",'1844-12-01,'1925-11-20,F,['royals_RQEII_9']
Mgv000010,Francis Paul Charles Louis Alexander,FraPCLA,Teck,esseg,"45.5548793,18.6953685",'1837-08-28,'1900-01-21,M,['royals_RQEII_10']
Mgv000011,Mary Adelaide Wilhelmina Elizabeth,MarAWE,Hanover,hanover,"52.3744779,9.7385532",'1833-11-27,'1897-10-27,F,['royals_RQEII_11']
Mgv000012,Claude George,ClaG,Lyon-Bowes,redbourn,"51.7985104,-0.3951486",'1841-07-21,'1944-11-07,M,['royals_RQEII_12']
Mgv000013,Frances Dora,FraD,Smith,london,"51.5074456,-0.1277653",'1832-07-29,'1922-02-05,F,['royals_RQEII_13']
Mgv000014,Charles William Frederick,ChaWF,Cavendish-Bentinck,london,"51.5074456,-0.1277653",'1817-11-08,'1865-08-17,M,['royals_RQEII_14']
Mgv000015,Caroline Louisa,CarL,Burnaby,hungarton,"52.6562861,-0.9740514",'1832-12-05,'1918-07-06,F,['royals_RQEII_15']
Mgv000016,Margaret Rose,MarR,Windsor,glamis,"56.608319,-3.0034297",'1930-08-21,'2002-02-09,F,['royals_RPMAR_1']
Mgv000017,Albert Frederick Arthur George,AlbFAG,Windsor,sandringham,"52.82737,0.51437",'1895-12-14,'1952-02-06,M,['royals_RPMAR_2']
Mgv000018,Elizabeth Angela Marguerite,EliAM,Bowes-Lyon,london,"51.5074456,-0.1277653",'1900-08-04,'2002-03-30,F,['royals_RPMAR_3']
Mgv000019,George Frederick Ernest Albert,GeoFEA,Saxe-Coburg and Gotha,westminster,"51.5004439,-0.1265398",'1865-06-03,'1936-01-20,M,['royals_RPMAR_4']
