ID,Father,Mother,Sex,SupPEDID,Proband
Mgv000001,Mgv000002,Mgv000003,F,royals_0001,1.0
Mgv000002,Mgv000004,Mgv000005,M,royals_0001,
Mgv000003,Mgv000006,Mgv000007,F,royals_0001,
Mgv000004,Mgv000008,Mgv000009,M,royals_0001,
Mgv000005,Mgv000010,Mgv000011,F,royals_0001,
Mgv000006,Mgv000012,Mgv000013,M,royals_0001,
Mgv000007,Mgv000014,Mgv000015,F,royals_0001,
Mgv000008,,,M,royals_0001,
Mgv000009,,,F,royals_0001,
Mgv000010,,,M,royals_0001,
Mgv000011,,,F,royals_0001,
Mgv000012,,,M,royals_0001,
Mgv000013,,,F,royals_0001,
Mgv000014,,,M,royals_0001,
Mgv000015,,,F,royals_0001,
Mgv000016,Mgv000002,Mgv000003,F,royals_0001,1.0
Mgv000031,Mgv000032,Mgv000033,M,royals_0001,1.0
Mgv000032,Mgv000034,Mgv000035,M,royals_0001,
Mgv000033,Mgv000036,Mgv000037,F,royals_0001,
Mgv000034,Mgv000038,Mgv000039,M,royals_0001,
Mgv000035,Mgv000008,Mgv000009,F,royals_0001,
Mgv000036,Mgv000042,Mgv000043,M,royals_0001,
Mgv000037,Mgv000038,Mgv000039,F,royals_0001,
Mgv000038,,,M,royals_0001,
Mgv000039,,,F,royals_0001,
Mgv000042,,,M,royals_0001,
Mgv000043,,,F,royals_0001,
Mgv000046,Mgv000047,Mgv000048,F,,1.0
Mgv000047,Mgv000049,Mgv000050,M,,
Mgv000048,Mgv000051,Mgv000052,F,,
Mgv000049,Mgv000053,Mgv000054,M,,
Mgv000050,Mgv000055,Mgv000056,F,,
Mgv000051,Mgv000057,Mgv000058,M,,
Mgv000052,Mgv000059,Mgv000060,F,,
Mgv000053,,,M,,
Mgv000054,,,F,,
Mgv000055,,,M,,
Mgv000056,,,F,,
Mgv000057,,,M,,
Mgv000058,,,F,,
Mgv000059,,,M,,
Mgv000060,,,F,,
